year,period,geo_level,state,state_ansi,crop,data_item,domain,domain_category,yield_bu_per_acre,STATE_FIPS,state_abbr,annual_precip_in,growing_season_precip_in,non_growing_season_precip_in,growing_season_share,growing_season_precip_state_percentile,crop_damage_event_count,crop_damage_usd
2024,YEAR,STATE,NEW MEXICO,35.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0,35,NM,49.02027777777778,8.37111111111111,40.649166666666666,0.1707683328327846,32.0,0.0,0.0
2024,YEAR,STATE,NEW YORK,36.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169.0,36,NY,44.74537313432836,25.165671641791047,19.579701492537318,0.5624195280759455,56.00000000000001,9.0,22000.0
2024,YEAR,STATE,NORTH CAROLINA,37.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,87.0,37,NC,57.646,25.97,31.676,0.4505082746417791,64.0,18.0,128000.0
2024,YEAR,STATE,NORTH DAKOTA,38.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.0,38,ND,52.82108695652174,32.21,20.61108695652174,0.6097943426744096,88.0,27.0,15229250.0
2024,YEAR,STATE,OHIO,39.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177.0,39,OH,21.54409090909091,17.69181818181818,3.852272727272728,0.8211912146338375,68.0,10.0,157000.0
2024,YEAR,STATE,OKLAHOMA,40.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,98.0,40,OK,52.99905263157895,28.327368421052636,24.671684210526315,0.5344882033641117,64.0,0.0,0.0
2024,YEAR,STATE,OREGON,41.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,208.0,41,OR,33.85937007874016,20.653228346456693,13.206141732283465,0.6099708381587576,76.0,0.0,0.0
2024,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,0.0,,,,,,,,,
2024,YEAR,STATE,PENNSYLVANIA,42.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,138.0,42,PA,16.05,5.486896551724138,10.56310344827586,0.3418627135030616,24.0,78.0,1095000.0
2024,YEAR,STATE,SOUTH CAROLINA,45.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,101.0,45,SC,45.64820512820513,9.933846153846153,35.71435897435897,0.2176174534342912,36.0,77.0,124091200.0
2024,YEAR,STATE,SOUTH DAKOTA,46.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164.0,46,SD,41.29018181818182,22.084545454545456,19.20563636363637,0.534861908620143,12.0,18.0,221000.0
