state,state_abbr,year,scenario,scenario_label,annual_max_tasmax_c,hot_days_30c,hot_days_30c_2020,hot_days_30c_change_from_2020,hot_days_35c,hot_days_35c_2020,hot_days_35c_change_from_2020
Ohio,OH,2033,ssp585,High emissions (SSP585),32.44199753538685,9.29528746233407,4.780040235009328,4.515247227324742,0.0,0.0,0.0
Ohio,OH,2034,ssp585,High emissions (SSP585),34.55673764047813,25.931171831832028,4.780040235009328,21.1511315968227,1.2310568816298748,0.0,1.2310568816298748
Ohio,OH,2035,ssp585,High emissions (SSP585),32.054981225233476,8.493538259323085,4.780040235009328,3.7134980243137563,0.07078512564936787,0.0,0.07078512564936787
Ohio,OH,2036,ssp585,High emissions (SSP585),32.03660133438732,9.739772919249758,4.780040235009328,4.959732684240429,0.0,0.0,0.0
Ohio,OH,2037,ssp585,High emissions (SSP585),30.737612456943125,2.699342148785579,4.780040235009328,-2.0806980862237494,0.0,0.0,0.0
Ohio,OH,2038,ssp585,High emissions (SSP585),31.958804548085254,16.408095945205645,4.780040235009328,11.628055710196314,0.0,0.0,0.0
Ohio,OH,2039,ssp585,High emissions (SSP585),32.8120452107052,13.089612365169973,4.780040235009328,8.309572130160646,0.0,0.0,0.0
Ohio,OH,2040,ssp585,High emissions (SSP585),33.098650916316146,16.7798137960027,4.780040235009328,11.999773560993372,0.0,0.0,0.0
Ohio,OH,2041,ssp585,High emissions (SSP585),32.412894476295236,13.056756247743847,4.780040235009328,8.276716012734518,0.0,0.0,0.0
Ohio,OH,2042,ssp585,High emissions (SSP585),32.70495718292317,12.861643210226719,4.780040235009328,8.081602975217391,0.14157025129873574,0.0,0.14157025129873574
Ohio,OH,2043,ssp585,High emissions (SSP585),31.449255070718063,3.316352843918873,4.780040235009328,-1.4636873910904553,0.0,0.0,0.0
Ohio,OH,2044,ssp585,High emissions (SSP585),33.67532846594711,12.339318018924585,4.780040235009328,7.559277783915257,0.0,0.0,0.0
