state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020
Georgia,GA,2082,JJA,ssp585,High emissions (SSP585),28.569474595112585,25.515961455290743,3.053513139821847
Georgia,GA,2083,JJA,ssp585,High emissions (SSP585),28.18074157571358,25.515961455290743,2.6647801204228405
Georgia,GA,2084,JJA,ssp585,High emissions (SSP585),27.94354502958508,25.515961455290743,2.427583574294341
Georgia,GA,2085,JJA,ssp585,High emissions (SSP585),28.135944770134465,25.515961455290743,2.6199833148437257
Georgia,GA,2086,JJA,ssp585,High emissions (SSP585),28.829252797173726,25.515961455290743,3.3132913418829815
Georgia,GA,2087,JJA,ssp585,High emissions (SSP585),28.446411698012387,25.515961455290743,2.930450242721645
Georgia,GA,2088,JJA,ssp585,High emissions (SSP585),28.3179867906009,25.515961455290743,2.8020253353101596
Georgia,GA,2089,JJA,ssp585,High emissions (SSP585),29.261825200628653,25.515961455290743,3.7458637453379144
Georgia,GA,2090,JJA,ssp585,High emissions (SSP585),28.7707955739672,25.515961455290743,3.2548341186764613
Georgia,GA,2091,JJA,ssp585,High emissions (SSP585),29.444869947526985,25.515961455290743,3.9289084922362414
Georgia,GA,2092,JJA,ssp585,High emissions (SSP585),28.24197923402925,25.515961455290743,2.7260177787385134
Georgia,GA,2093,JJA,ssp585,High emissions (SSP585),30.74748918291882,25.515961455290743,5.231527727628074
Georgia,GA,2094,JJA,ssp585,High emissions (SSP585),28.486084596337808,25.515961455290743,2.9701231410470625
Georgia,GA,2095,JJA,ssp585,High emissions (SSP585),27.818449299582436,25.515961455290743,2.3024878442916945
Georgia,GA,2096,JJA,ssp585,High emissions (SSP585),30.37662880787626,25.515961455290743,4.86066735258551
Georgia,GA,2097,JJA,ssp585,High emissions (SSP585),30.758404623594007,25.515961455290743,5.242443168303267
Georgia,GA,2098,JJA,ssp585,High emissions (SSP585),29.378566665142696,25.515961455290743,3.862605209851951
Georgia,GA,2099,JJA,ssp585,High emissions (SSP585),29.152124108288017,25.515961455290743,3.6361626529972715
Georgia,GA,2100,JJA,ssp585,High emissions (SSP585),29.46729841737148,25.515961455290743,3.95133696208073
Hawaii,HI,2020,JJA,ssp126,Low emissions (SSP126),24.572524007749518,24.572524007749518,0.0
Hawaii,HI,2021,JJA,ssp126,Low emissions (SSP126),24.462839016119442,24.572524007749518,-0.10968499163007696
Hawaii,HI,2022,JJA,ssp126,Low emissions (SSP126),24.037541905582223,24.572524007749518,-0.5349821021672936
Hawaii,HI,2023,JJA,ssp126,Low emissions (SSP126),23.951982353329935,24.572524007749518,-0.6205416544195828
Hawaii,HI,2024,JJA,ssp126,Low emissions (SSP126),23.865621859298038,24.572524007749518,-0.7069021484514785
Hawaii,HI,2025,JJA,ssp126,Low emissions (SSP126),24.2178844426585,24.572524007749518,-0.35463956509101946
Hawaii,HI,2026,JJA,ssp126,Low emissions (SSP126),24.064053248599553,24.572524007749518,-0.5084707591499652
Hawaii,HI,2027,JJA,ssp126,Low emissions (SSP126),24.465497700662237,24.572524007749518,-0.10702630708728159
Hawaii,HI,2028,JJA,ssp126,Low emissions (SSP126),24.229490512749738,24.572524007749518,-0.3430334949997785
Hawaii,HI,2029,JJA,ssp126,Low emissions (SSP126),24.286710208452117,24.572524007749518,-0.28581379929739903
Hawaii,HI,2030,JJA,ssp126,Low emissions (SSP126),24.9161111720111,24.572524007749518,0.34358716426158065
Hawaii,HI,2031,JJA,ssp126,Low emissions (SSP126),24.154413858495815,24.572524007749518,-0.4181101492537044
Hawaii,HI,2032,JJA,ssp126,Low emissions (SSP126),24.397856351336483,24.572524007749518,-0.17466765641303586
Hawaii,HI,2033,JJA,ssp126,Low emissions (SSP126),24.687378884728886,24.572524007749518,0.11485487697936787
Hawaii,HI,2034,JJA,ssp126,Low emissions (SSP126),24.226099743065195,24.572524007749518,-0.34642426468432186
Hawaii,HI,2035,JJA,ssp126,Low emissions (SSP126),24.44499404441956,24.572524007749518,-0.127529963329956
Hawaii,HI,2036,JJA,ssp126,Low emissions (SSP126),25.036983714989795,24.572524007749518,0.4644597072402779
Hawaii,HI,2037,JJA,ssp126,Low emissions (SSP126),24.487120858574716,24.572524007749518,-0.08540314917480113
Hawaii,HI,2038,JJA,ssp126,Low emissions (SSP126),24.67248197564873,24.572524007749518,0.09995796789920913
Hawaii,HI,2039,JJA,ssp126,Low emissions (SSP126),24.83672818026731,24.572524007749518,0.26420417251779005
Hawaii,HI,2040,JJA,ssp126,Low emissions (SSP126),24.41456344134546,24.572524007749518,-0.15796056640406195
Hawaii,HI,2041,JJA,ssp126,Low emissions (SSP126),24.566890686578887,24.572524007749518,-0.005633321170630421
Hawaii,HI,2042,JJA,ssp126,Low emissions (SSP126),24.814884882731096,24.572524007749518,0.2423608749815748
Hawaii,HI,2043,JJA,ssp126,Low emissions (SSP126),24.74424401906362,24.572524007749518,0.17172001131409947
Hawaii,HI,2044,JJA,ssp126,Low emissions (SSP126),24.744001501563485,24.572524007749518,0.17147749381396377
Hawaii,HI,2045,JJA,ssp126,Low emissions (SSP126),25.437843986355205,24.572524007749518,0.8653199786056868
Hawaii,HI,2046,JJA,ssp126,Low emissions (SSP126),24.525861175918216,24.572524007749518,-0.046662831831302196
Hawaii,HI,2047,JJA,ssp126,Low emissions (SSP126),25.126125651157846,24.572524007749518,0.553601643408329
Hawaii,HI,2048,JJA,ssp126,Low emissions (SSP126),24.76167164261538,24.572524007749518,0.1891476348658596
Hawaii,HI,2049,JJA,ssp126,Low emissions (SSP126),25.28721991911333,24.572524007749518,0.7146959113638108
Hawaii,HI,2050,JJA,ssp126,Low emissions (SSP126),24.94609032734503,24.572524007749518,0.37356631959551106
Hawaii,HI,2051,JJA,ssp126,Low emissions (SSP126),24.83496622833278,24.572524007749518,0.26244222058326333
Hawaii,HI,2052,JJA,ssp126,Low emissions (SSP126),24.883603198659454,24.572524007749518,0.31107919090993635
Hawaii,HI,2053,JJA,ssp126,Low emissions (SSP126),24.174357081085102,24.572524007749518,-0.3981669266644161
Hawaii,HI,2054,JJA,ssp126,Low emissions (SSP126),24.931583204516553,24.572524007749518,0.3590591967670332
Hawaii,HI,2055,JJA,ssp126,Low emissions (SSP126),24.959042432157464,24.572524007749518,0.386518424407943
Hawaii,HI,2056,JJA,ssp126,Low emissions (SSP126),25.314583798757642,24.572524007749518,0.7420597910081237
Hawaii,HI,2057,JJA,ssp126,Low emissions (SSP126),24.756457733421037,24.572524007749518,0.18393372567151814
Hawaii,HI,2058,JJA,ssp126,Low emissions (SSP126),24.64779142833331,24.572524007749518,0.07526742058379345
Hawaii,HI,2059,JJA,ssp126,Low emissions (SSP126),24.802007969881586,24.572524007749518,0.22948396213206476
Hawaii,HI,2060,JJA,ssp126,Low emissions (SSP126),25.14819388408048,24.572524007749518,0.5756698763309626
Hawaii,HI,2061,JJA,ssp126,Low emissions (SSP126),24.640165823886402,24.572524007749518,0.0676418161368862
Hawaii,HI,2062,JJA,ssp126,Low emissions (SSP126),24.6358916991816,24.572524007749518,0.06336769143208283
Hawaii,HI,2063,JJA,ssp126,Low emissions (SSP126),24.728157109594775,24.572524007749518,0.15563310184525758
Hawaii,HI,2064,JJA,ssp126,Low emissions (SSP126),24.698353869383986,24.572524007749518,0.12582986163446389
Hawaii,HI,2065,JJA,ssp126,Low emissions (SSP126),24.841229494218357,24.572524007749518,0.2687054864688361
Hawaii,HI,2066,JJA,ssp126,Low emissions (SSP126),24.280799090154208,24.572524007749518,-0.2917249175953081
Hawaii,HI,2067,JJA,ssp126,Low emissions (SSP126),25.576357837028315,24.572524007749518,1.0038338292787974
Hawaii,HI,2068,JJA,ssp126,Low emissions (SSP126),24.275550554762532,24.572524007749518,-0.29697345298698846
Hawaii,HI,2069,JJA,ssp126,Low emissions (SSP126),25.15014865028881,24.572524007749518,0.57762464253929
Hawaii,HI,2070,JJA,ssp126,Low emissions (SSP126),24.884221231213722,24.572524007749518,0.3116972234641997
Hawaii,HI,2071,JJA,ssp126,Low emissions (SSP126),24.77943760954248,24.572524007749518,0.2069136017929629
Hawaii,HI,2072,JJA,ssp126,Low emissions (SSP126),24.59846989508497,24.572524007749518,0.02594588733545115
Hawaii,HI,2073,JJA,ssp126,Low emissions (SSP126),24.536963046940883,24.572524007749518,-0.0355609608086342
Hawaii,HI,2074,JJA,ssp126,Low emissions (SSP126),25.484462023885484,24.572524007749518,0.9119380161359643
