state,state_abbr,year,season,scenario,scenario_label,summer_max_tasmax_c,summer_hot_days_30c,summer_hot_days_30c_2020,summer_hot_days_30c_change_from_2020,summer_hot_days_35c,summer_hot_days_35c_2020,summer_hot_days_35c_change_from_2020
Alabama,AL,2020,JJA,ssp126,Low emissions (SSP126),32.88056002644198,27.41818734498071,27.41818734498071,0.0,0.12523886406617596,0.12523886406617596,0.0
Alabama,AL,2021,JJA,ssp126,Low emissions (SSP126),40.65735415001321,77.89051767622941,27.41818734498071,50.47233033124869,35.84760586376701,0.12523886406617596,35.72236699970083
Alabama,AL,2022,JJA,ssp126,Low emissions (SSP126),33.345303373900066,43.328786883405314,27.41818734498071,15.910599538424604,0.3651646378030449,0.12523886406617596,0.23992577373686894
Alabama,AL,2023,JJA,ssp126,Low emissions (SSP126),35.59970771589717,44.71876416265849,27.41818734498071,17.30057681767778,4.137506104455499,0.12523886406617596,4.012267240389323
Alabama,AL,2024,JJA,ssp126,Low emissions (SSP126),38.48553600467912,66.20350368862992,27.41818734498071,38.785316343649214,17.501189063450934,0.12523886406617596,17.375950199384757
Alabama,AL,2025,JJA,ssp126,Low emissions (SSP126),40.82294670011656,70.91256094581718,27.41818734498071,43.49437360083647,25.847587171801496,0.12523886406617596,25.72234830773532
Alabama,AL,2026,JJA,ssp126,Low emissions (SSP126),34.15251228919815,34.07828233184096,27.41818734498071,6.660094986860255,0.6429675853408339,0.12523886406617596,0.5177287212746579
Alabama,AL,2027,JJA,ssp126,Low emissions (SSP126),35.763468661751276,46.20768730142129,27.41818734498071,18.78949995644058,4.281968127325065,0.12523886406617596,4.15672926325889
Alabama,AL,2028,JJA,ssp126,Low emissions (SSP126),32.64577971730494,34.844570648381314,27.41818734498071,7.426383303400604,0.1276244523988983,0.12523886406617596,0.0023855883327223294
Alabama,AL,2029,JJA,ssp126,Low emissions (SSP126),36.39112459105025,64.20716061888874,27.41818734498071,36.78897327390803,9.060169731629836,0.12523886406617596,8.93493086756366
