state,state_abbr,year,scenario,scenario_label,tas_c,tas_2020_c,tas_change_from_2020_c
Montana,MT,2040,ssp585,High emissions (SSP585),6.184078838854296,5.640017798002378,0.5440610408519159
Montana,MT,2041,ssp585,High emissions (SSP585),6.481778902088254,5.640017798002378,0.8417611040858758
Montana,MT,2042,ssp585,High emissions (SSP585),7.077979422135356,5.640017798002378,1.437961624132977
Montana,MT,2043,ssp585,High emissions (SSP585),6.5341651883820475,5.640017798002378,0.894147390379668
Montana,MT,2044,ssp585,High emissions (SSP585),5.832853132141969,5.640017798002378,0.19283533413958998
Montana,MT,2045,ssp585,High emissions (SSP585),5.027137336675983,5.640017798002378,-0.6128804613263967
Montana,MT,2046,ssp585,High emissions (SSP585),5.2852502462021285,5.640017798002378,-0.3547675518002508
Montana,MT,2047,ssp585,High emissions (SSP585),5.834444672208996,5.640017798002378,0.19442687420661675
Montana,MT,2048,ssp585,High emissions (SSP585),6.128808697880595,5.640017798002378,0.4887908998782165
Montana,MT,2049,ssp585,High emissions (SSP585),6.5687691691529535,5.640017798002378,0.9287513711505738
Montana,MT,2050,ssp585,High emissions (SSP585),7.241556658708273,5.640017798002378,1.6015388607058927
Montana,MT,2051,ssp585,High emissions (SSP585),6.545819211725683,5.640017798002378,0.9058014137233034
Montana,MT,2052,ssp585,High emissions (SSP585),7.4704524141881485,5.640017798002378,1.8304346203523958
Montana,MT,2053,ssp585,High emissions (SSP585),6.25671905749162,5.640017798002378,0.6167012594892399
Montana,MT,2054,ssp585,High emissions (SSP585),6.286921533974089,5.640017798002378,0.6469037359717095
Montana,MT,2055,ssp585,High emissions (SSP585),7.17765685969705,5.640017798002378,1.537639065861299
Montana,MT,2056,ssp585,High emissions (SSP585),6.559831814210042,5.640017798002378,0.919814016207663
Montana,MT,2057,ssp585,High emissions (SSP585),7.082506336976354,5.640017798002378,1.4424885389739748
Montana,MT,2058,ssp585,High emissions (SSP585),6.2841053743692035,5.640017798002378,0.6440875763668245
Montana,MT,2059,ssp585,High emissions (SSP585),7.693708881345415,5.640017798002378,2.0536910875096632
Montana,MT,2060,ssp585,High emissions (SSP585),7.205371481101489,5.640017798002378,1.5653536830991093
Montana,MT,2061,ssp585,High emissions (SSP585),7.83472379899726,5.640017798002378,2.1947060051615077
Montana,MT,2062,ssp585,High emissions (SSP585),8.09053350105891,5.640017798002378,2.450515707223159
Montana,MT,2063,ssp585,High emissions (SSP585),6.511783120714583,5.640017798002378,0.8717653227122036
Montana,MT,2064,ssp585,High emissions (SSP585),7.077408011312182,5.640017798002378,1.4373902174764293
Montana,MT,2065,ssp585,High emissions (SSP585),7.0685176248481385,5.640017798002378,1.4284998310123864
Montana,MT,2066,ssp585,High emissions (SSP585),8.410769722843249,5.640017798002378,2.7707519290074965
Montana,MT,2067,ssp585,High emissions (SSP585),7.34405656780182,5.640017798002378,1.7040387739660687
Montana,MT,2068,ssp585,High emissions (SSP585),7.51136419322947,5.640017798002378,1.8713463993937194
Montana,MT,2069,ssp585,High emissions (SSP585),7.4117031211524305,5.640017798002378,1.7716853273166775
Montana,MT,2070,ssp585,High emissions (SSP585),6.922450402844812,5.640017798002378,1.2824326090090608
Nebraska,NE,2020,ssp126,Low emissions (SSP126),7.936682220373261,7.936682220373261,0.0
Nebraska,NE,2021,ssp126,Low emissions (SSP126),10.453730550643424,7.936682220373261,2.517048330270164
Nebraska,NE,2022,ssp126,Low emissions (SSP126),10.35568098728501,7.936682220373261,2.4189987669117485
Nebraska,NE,2023,ssp126,Low emissions (SSP126),10.471168395399769,7.936682220373261,2.5344861750265104
Nebraska,NE,2024,ssp126,Low emissions (SSP126),11.24677972568631,7.936682220373261,3.3100975053130486
Nebraska,NE,2025,ssp126,Low emissions (SSP126),11.806920156138943,7.936682220373261,3.870237935765684
Nebraska,NE,2026,ssp126,Low emissions (SSP126),10.323756474793374,7.936682220373261,2.387074254420113
Nebraska,NE,2027,ssp126,Low emissions (SSP126),10.34309312279107,7.936682220373261,2.4064109024178073
Nebraska,NE,2028,ssp126,Low emissions (SSP126),10.812405613267888,7.936682220373261,2.875723392894626
Nebraska,NE,2029,ssp126,Low emissions (SSP126),11.308278537598767,7.936682220373261,3.3715963172255083
Nebraska,NE,2030,ssp126,Low emissions (SSP126),9.781515679832633,7.936682220373261,1.8448334594593718
Nebraska,NE,2031,ssp126,Low emissions (SSP126),9.572226267268574,7.936682220373261,1.6355440468953129
Nebraska,NE,2032,ssp126,Low emissions (SSP126),10.811467208229223,7.936682220373261,2.8747849878559633
Nebraska,NE,2033,ssp126,Low emissions (SSP126),9.879750002541885,7.936682220373261,1.9430677821686246
Nebraska,NE,2034,ssp126,Low emissions (SSP126),10.855483215272022,7.936682220373261,2.9188009948987625
Nebraska,NE,2035,ssp126,Low emissions (SSP126),10.74342785604292,7.936682220373261,2.8067456356696594
Nebraska,NE,2036,ssp126,Low emissions (SSP126),10.217207791179078,7.936682220373261,2.280525570805819
Nebraska,NE,2037,ssp126,Low emissions (SSP126),10.179292791530036,7.936682220373261,2.2426105711567756
Nebraska,NE,2038,ssp126,Low emissions (SSP126),10.792287679687288,7.936682220373261,2.8556054593140288
Nebraska,NE,2039,ssp126,Low emissions (SSP126),9.75138830936692,7.936682220373261,1.8147060889936597
Nebraska,NE,2040,ssp126,Low emissions (SSP126),10.983254254226557,7.936682220373261,3.0465720338532956
Nebraska,NE,2041,ssp126,Low emissions (SSP126),10.571965231670582,7.936682220373261,2.635283011297325
Nebraska,NE,2042,ssp126,Low emissions (SSP126),10.760390865047125,7.936682220373261,2.8237086446738617
Nebraska,NE,2043,ssp126,Low emissions (SSP126),10.058025835809735,7.936682220373261,2.1213436154364764
Nebraska,NE,2044,ssp126,Low emissions (SSP126),9.896308557095852,7.936682220373261,1.9596263367225921
Nebraska,NE,2045,ssp126,Low emissions (SSP126),9.608424396492897,7.936682220373261,1.6717421761196352
Nebraska,NE,2046,ssp126,Low emissions (SSP126),11.832869438158585,7.936682220373261,3.8961872177853265
Nebraska,NE,2047,ssp126,Low emissions (SSP126),10.327211866601651,7.936682220373261,2.390529646228391
Nebraska,NE,2048,ssp126,Low emissions (SSP126),10.973835958892948,7.936682220373261,3.0371537385196867
Nebraska,NE,2049,ssp126,Low emissions (SSP126),10.291211550609358,7.936682220373261,2.3545293302360966
Nebraska,NE,2050,ssp126,Low emissions (SSP126),11.934941984085654,7.936682220373261,3.998259763712393
Nebraska,NE,2051,ssp126,Low emissions (SSP126),10.484349640018324,7.936682220373261,2.5476674196450637
Nebraska,NE,2052,ssp126,Low emissions (SSP126),11.656947385299274,7.936682220373261,3.7202651649260154
Nebraska,NE,2053,ssp126,Low emissions (SSP126),10.546027995442529,7.936682220373261,2.6093457750692663
Nebraska,NE,2054,ssp126,Low emissions (SSP126),10.68993307027512,7.936682220373261,2.753250849901859
Nebraska,NE,2055,ssp126,Low emissions (SSP126),10.554490093187933,7.936682220373261,2.617807872814672
Nebraska,NE,2056,ssp126,Low emissions (SSP126),11.009824540047406,7.936682220373261,3.0731423196741456
Nebraska,NE,2057,ssp126,Low emissions (SSP126),9.313845309864691,7.936682220373261,1.3771630894914293
Nebraska,NE,2058,ssp126,Low emissions (SSP126),10.840478058492865,7.936682220373261,2.9037958381196054
Nebraska,NE,2059,ssp126,Low emissions (SSP126),12.422269826299804,7.936682220373261,4.485587605926543
Nebraska,NE,2060,ssp126,Low emissions (SSP126),9.446599263171986,7.936682220373261,1.509917042798725
Nebraska,NE,2061,ssp126,Low emissions (SSP126),10.983623642385904,7.936682220373261,3.046941422012643
Nebraska,NE,2062,ssp126,Low emissions (SSP126),11.144661027182995,7.936682220373261,3.207978806809736
Nebraska,NE,2063,ssp126,Low emissions (SSP126),10.390912682893328,7.936682220373261,2.4542304625200684
Nebraska,NE,2064,ssp126,Low emissions (SSP126),10.448640016948323,7.936682220373261,2.511957796575063
Nebraska,NE,2065,ssp126,Low emissions (SSP126),10.255102898847584,7.936682220373261,2.3184206784743226
Nebraska,NE,2066,ssp126,Low emissions (SSP126),11.409274231051127,7.936682220373261,3.472592010677865
Nebraska,NE,2067,ssp126,Low emissions (SSP126),10.766472762465156,7.936682220373261,2.8297905420918967
Nebraska,NE,2068,ssp126,Low emissions (SSP126),11.019897984973925,7.936682220373261,3.0832157646006637
Nebraska,NE,2069,ssp126,Low emissions (SSP126),11.006599412097888,7.936682220373261,3.069917191724628
Nebraska,NE,2070,ssp126,Low emissions (SSP126),10.699699061307177,7.936682220373261,2.7630168409339153
Nebraska,NE,2020,ssp245,Medium emissions (SSP245),9.883114295250714,9.883114295250714,0.0
Nebraska,NE,2021,ssp245,Medium emissions (SSP245),10.504937669920984,9.883114295250714,0.6218233746702714
Nebraska,NE,2022,ssp245,Medium emissions (SSP245),10.033856825330718,9.883114295250714,0.1507425300800057
Nebraska,NE,2023,ssp245,Medium emissions (SSP245),9.468272938790276,9.883114295250714,-0.41484135646043746
Nebraska,NE,2024,ssp245,Medium emissions (SSP245),9.73236385054437,9.883114295250714,-0.1507504447063441
Nebraska,NE,2025,ssp245,Medium emissions (SSP245),10.367711969218023,9.883114295250714,0.48459767396730896
Nebraska,NE,2026,ssp245,Medium emissions (SSP245),9.989442987600103,9.883114295250714,0.10632869234939049
Nebraska,NE,2027,ssp245,Medium emissions (SSP245),9.601025946312543,9.883114295250714,-0.28208834893817053
Nebraska,NE,2028,ssp245,Medium emissions (SSP245),10.35625424900713,9.883114295250714,0.4731399537564155
Nebraska,NE,2029,ssp245,Medium emissions (SSP245),11.17169583832467,9.883114295250714,1.2885815430739578
Nebraska,NE,2030,ssp245,Medium emissions (SSP245),10.383230254636745,9.883114295250714,0.5001159593860319
Nebraska,NE,2031,ssp245,Medium emissions (SSP245),11.513354349024274,9.883114295250714,1.6302400537735586
Nebraska,NE,2032,ssp245,Medium emissions (SSP245),10.341100613685303,9.883114295250714,0.4579863184345889
Nebraska,NE,2033,ssp245,Medium emissions (SSP245),11.62899403339422,9.883114295250714,1.745879738143503
Nebraska,NE,2034,ssp245,Medium emissions (SSP245),10.345012329356537,9.883114295250714,0.46189803410582453
Nebraska,NE,2035,ssp245,Medium emissions (SSP245),10.65411186663718,9.883114295250714,0.7709975713864632
Nebraska,NE,2036,ssp245,Medium emissions (SSP245),11.547298899542556,9.883114295250714,1.664184604291839
Nebraska,NE,2037,ssp245,Medium emissions (SSP245),10.985412643302324,9.883114295250714,1.10229834805161
Nebraska,NE,2038,ssp245,Medium emissions (SSP245),10.455632384177262,9.883114295250714,0.5725180889265477
Nebraska,NE,2039,ssp245,Medium emissions (SSP245),11.042121504845612,9.883114295250714,1.1590072095948984
Nebraska,NE,2040,ssp245,Medium emissions (SSP245),10.45088666808821,9.883114295250714,0.5677723728374977
Nebraska,NE,2041,ssp245,Medium emissions (SSP245),10.586625812598163,9.883114295250714,0.7035115173474482
Nebraska,NE,2042,ssp245,Medium emissions (SSP245),12.287419880885377,9.883114295250714,2.404305585634663
Nebraska,NE,2043,ssp245,Medium emissions (SSP245),9.816018252612976,9.883114295250714,-0.0670960426377388
Nebraska,NE,2044,ssp245,Medium emissions (SSP245),9.807694281546734,9.883114295250714,-0.07542001370398048
Nebraska,NE,2045,ssp245,Medium emissions (SSP245),10.828198420434232,9.883114295250714,0.9450841251835207
Nebraska,NE,2046,ssp245,Medium emissions (SSP245),11.561920377173955,9.883114295250714,1.6788060819232422
Nebraska,NE,2047,ssp245,Medium emissions (SSP245),10.37632759714828,9.883114295250714,0.49321330189756496
Nebraska,NE,2048,ssp245,Medium emissions (SSP245),10.190542753112219,9.883114295250714,0.30742845786150474
Nebraska,NE,2049,ssp245,Medium emissions (SSP245),11.02795083334637,9.883114295250714,1.144836538095656
Nebraska,NE,2050,ssp245,Medium emissions (SSP245),10.788433927367699,9.883114295250714,0.9053196321169844
Nebraska,NE,2051,ssp245,Medium emissions (SSP245),11.984898394876758,9.883114295250714,2.101784099626046
Nebraska,NE,2052,ssp245,Medium emissions (SSP245),10.744266124537209,9.883114295250714,0.861151829286495
Nebraska,NE,2053,ssp245,Medium emissions (SSP245),9.557341258233691,9.883114295250714,-0.325773037017023
Nebraska,NE,2054,ssp245,Medium emissions (SSP245),10.527416624921205,9.883114295250714,0.6443023296704912
Nebraska,NE,2055,ssp245,Medium emissions (SSP245),9.788100359532326,9.883114295250714,-0.09501393571838765
Nebraska,NE,2056,ssp245,Medium emissions (SSP245),10.41000911522749,9.883114295250714,0.5268948199767761
Nebraska,NE,2057,ssp245,Medium emissions (SSP245),10.77179520036799,9.883114295250714,0.8886809051172755
Nebraska,NE,2058,ssp245,Medium emissions (SSP245),12.003790118513294,9.883114295250714,2.1206758232625784
Nebraska,NE,2059,ssp245,Medium emissions (SSP245),12.79008480777606,9.883114295250714,2.9069705125253456
Nebraska,NE,2060,ssp245,Medium emissions (SSP245),10.051081631591613,9.883114295250714,0.1679673363409003
Nebraska,NE,2061,ssp245,Medium emissions (SSP245),10.526606245973854,9.883114295250714,0.6434919507231411
Nebraska,NE,2062,ssp245,Medium emissions (SSP245),10.738035208889906,9.883114295250714,0.8549209136391926
Nebraska,NE,2063,ssp245,Medium emissions (SSP245),11.619355667623418,9.883114295250714,1.7362413723727073
Nebraska,NE,2064,ssp245,Medium emissions (SSP245),11.169190240505944,9.883114295250714,1.2860759452552293
Nebraska,NE,2065,ssp245,Medium emissions (SSP245),10.991750687764132,9.883114295250714,1.1086363925134186
Nebraska,NE,2066,ssp245,Medium emissions (SSP245),10.700688639864197,9.883114295250714,0.8175743446134829
Nebraska,NE,2067,ssp245,Medium emissions (SSP245),11.168865293856413,9.883114295250714,1.2857509986056994
Nebraska,NE,2068,ssp245,Medium emissions (SSP245),10.717148894028433,9.883114295250714,0.8340345987777219
Nebraska,NE,2069,ssp245,Medium emissions (SSP245),10.324669267208648,9.883114295250714,0.44155497195793425
Nebraska,NE,2070,ssp245,Medium emissions (SSP245),11.425193178828813,9.883114295250714,1.5420788835780992
Nebraska,NE,2020,ssp585,High emissions (SSP585),10.496200535491672,10.496200535491672,0.0
